±¤Á¾,Ç°¸ñ,´ë·ú,±¹°¡,´ÜÀ§,2011 »ý»ê·®,2012 »ý»ê·®,2013 »ý»ê·®,2014 »ý»ê·®,2015 »ý»ê·®,2016 »ý»ê·®,2017 »ý»ê·®,2018 »ý»ê·®,2019 »ý»ê·®,2020 »ý»ê·®,2021 »ý»ê·®,2022 »ý»ê·®
´ÏÄÌ,mine,EUROPE,Kosovo,ÃµÅæ,7.632,4.436,7.607,6.724,6.65,4.306,7.12,4.791,3.314,3.958,4.735,0
´ÏÄÌ,mine,EUROPE,Macedonia,ÃµÅæ,3.6,1.704,0,0,0,0,0,0,0,0,0,0
´ÏÄÌ,mine,EUROPE,Norway,ÃµÅæ,0.326,0.253,0.38,0.346,0.265,0.214,0.172,0.254,0.19,0.274,0.285,0.263
´ÏÄÌ,mine,EUROPE,Poland,ÃµÅæ,0.85,0.8,0.6,0.78,0.84,0.77,0.72,0.7,0.72,0.71,0.72,0.72
´ÏÄÌ,mine,EUROPE,Russia,ÃµÅæ,270,268.7,264,264,261,221.387,215.167,218.342,225.704,232.532,189.945,219.029
´ÏÄÌ,mine,EUROPE,Spain,ÃµÅæ,0,2.398,7.574,8.631,7.213,0,0,0,0,0,0,0
´ÏÄÌ,mine,AFRICA,Botswana,ÃµÅæ,15.675,17.948,22.848,14.952,16.788,16.878,0,0,0,0,0,0
´ÏÄÌ,mine,AFRICA,Ivory Coast,ÃµÅæ,0,0,0,0,0,0,0.576,6.852,16.421,18.988,27.849,33.534
´ÏÄÌ,mine,AFRICA,Madagascar,ÃµÅæ,0,5.695,25.149,37.054,47.271,42.105,35.474,33.183,33.733,9.9,29.352,31.744
´ÏÄÌ,mine,AFRICA,Morocco,ÃµÅæ,0.217,0.288,0.16,0,0.203,0.188,0.196,0.126,0.131,0.142,0.144,0.144
´ÏÄÌ,mine,AFRICA,South Africa,ÃµÅæ,43.32,45.946,51.208,54.956,56.689,48.994,48.463,43.236,43.466,34.908,31.846,29.272
´ÏÄÌ,mine,AFRICA,Zambia,ÃµÅæ,2.888,0,0,0,0,0,0,0,1.23,3.78,3.68,3.942
´ÏÄÌ,mine,AFRICA,Zimbabwe,ÃµÅæ,7.993,7.898,12.961,16.633,16.109,17.743,16.617,17.85,16.278,16.336,16.213,16.728
´ÏÄÌ,mine,ASIA,China,ÃµÅæ,89.792,93.3,93.2,101.1,101.4,100.2,102.3,108.2,104.674,105.048,98.602,88.2
